Uuid,PropertyName,PrimaryDataType,Pset,Description,PropertyType
c0c0f000-d1d3-11e1-8000-00215ad4efdf,AccessLengthOrRadius,IfcPositiveLengthMeasure,Pset_DistributionChamberElementTypeInspectionChamber,"The length of the chamber access cover or, where the plan shape of the cover is circular, the radius.",P_SINGLEVALUE
d2c08400-d20f-11e1-8000-00215ad4efdf,AccessType,IfcLabel,Pset_TankTypeCommon,"Defines the types of access (or cover) to a tank that may be specified.

Note that covers are generally specified for rectangular tanks. For cylindrical tanks, access will normally be via a manhole.",P_ENUMERATEDVALUE
2ca35880-d1d4-11e1-8000-00215ad4efdf,AccessWidth,IfcPositiveLengthMeasure,Pset_DistributionChamberElementTypeManhole,"The width of the chamber access cover where the plan shape of the cover is not circular.",P_SINGLEVALUE
c61e3a80-d1d3-11e1-8000-00215ad4efdf,AccessWidth,IfcPositiveLengthMeasure,Pset_DistributionChamberElementTypeInspectionChamber,"The width of the chamber access cover where the plan shape of the cover is not circular.",P_SINGLEVALUE
4c6a4578-9e08-41ca-a848-5585987a0f81,AccidentResponse,IfcLabel,Pset_MaintenanceStrategy,"Accident response chosen for the asset",P_ENUMERATEDVALUE
c288ea35-1376-4938-b183-0ea14f504273,AccuracyClass,IfcRatioMeasure,Pset_CurrentInstrumentTransformer,"A designation assigned to an instrument transformer the current (or voltage) error and phase displacement of which remain within specified limits under prescribed conditions of use (IEC 321-01-24).",P_SINGLEVALUE
c288ea35-1376-4938-b183-0ea14f504273,AccuracyClass,IfcRatioMeasure,Pset_VoltageInstrumentTransformer,"A designation assigned to an instrument transformer the current (or voltage) error and phase displacement of which remain within specified limits under prescribed conditions of use (IEC 321-01-24).",P_SINGLEVALUE
fc1a55e6-20f1-4646-8ef5-279fe7bbf095,AccuracyGrade,IfcLabel,Pset_CurrentInstrumentTransformer,"The grade of accuracy.",P_SINGLEVALUE
fc1a55e6-20f1-4646-8ef5-279fe7bbf095,AccuracyGrade,IfcLabel,Pset_VoltageInstrumentTransformer,"The grade of accuracy.",P_SINGLEVALUE
2679a000-d205-11e1-8000-00215ad4efdf,AccuracyOfFireSensor,IfcThermodynamicTemperatureMeasure,Pset_SensorTypeFireSensor,"The accuracy of the sensor.",P_SINGLEVALUE
7cc4ef80-d1c1-11e1-8000-00215ad4efdf,AccuracyQualityExpected,IfcRatioMeasure,Pset_AnnotationSurveyArea,"A measure of the accuracy quality of survey points as expected expressed in percentage terms.",P_SINGLEVALUE
76cf0e80-d1c1-11e1-8000-00215ad4efdf,AccuracyQualityObtained,IfcRatioMeasure,Pset_AnnotationSurveyArea,"A measure of the accuracy quality of survey points as obtained expressed in percentage terms.",P_SINGLEVALUE
320d9c80-d1ee-11e1-8000-00215ad4efdf,AcidityConcentration,IfcIonConcentrationMeasure,Pset_MaterialWater,"Maximum CaCO3 equivalent that would neutralize the acid.",P_SINGLEVALUE
f90b0300-d1c0-11e1-8000-00215ad4efdf,Acknowledge,IfcTimeSeries,Pset_AlarmPHistory,"Indicates acknowledgement status where False indicates acknowlegement is required and outstanding, True indicates condition has been acknowedged, and Unknown indicates no acknowledgement is required.  Upon resetting the condition, then acknowledgement reverts to Unknown.",P_REFERENCEVALUE
24f3ac00-d1f4-11e1-8000-00215ad4efdf,AcousticRating,IfcLabel,Pset_PlateCommon,"Acoustic rating for this object.
It is provided according to the national building code. It indicates the sound transmission resistance of this object by an index ratio (instead of providing full sound absorbtion values).",P_SINGLEVALUE
0d262300-d208-11e1-8000-00215ad4efdf,AcousticRating,IfcLabel,Pset_SlabCommon,"Acoustic rating for this object.
It is provided according to the national building code. It indicates the sound transmission resistance of this object by an index ratio (instead of providing full sound absorbtion values).",P_SINGLEVALUE
2e6b1d00-d1d0-11e1-8000-00215ad4efdf,AcousticRating,IfcLabel,Pset_CoveringCommon,"Acoustic rating for this object.
It is giving according to the national building code. It indicates the sound transmission resistance of this object by an index ration (instead of providing full sound absorbtion values).",P_SINGLEVALUE
8b66d300-d1d0-11e1-8000-00215ad4efdf,AcousticRating,IfcLabel,Pset_CurtainWallCommon,"Acoustic rating for this object.
It is provided according to the national building code. It indicates the sound transmission resistance of this object by an index ratio (instead of providing full sound absorbtion values).",P_SINGLEVALUE
adc51480-d201-11e1-8000-00215ad4efdf,AcousticRating,IfcLabel,Pset_RoofCommon,"Acoustic rating for this object.
It is provided according to the national building code. It indicates the sound transmission resistance of this object by an index ratio (instead of providing full sound absorbtion values).",P_SINGLEVALUE
95420380-d1db-11e1-8000-00215ad4efdf,AcousticRating,IfcLabel,Pset_DoorCommon,"Acoustic rating for this object.
It is provided according to the national building code. It indicates the sound transmission resistance of this object by an index ratio (instead of providing full sound absorbtion values).",P_SINGLEVALUE
b9700580-d218-11e1-8000-00215ad4efdf,AcousticRating,IfcLabel,Pset_WindowCommon,"Acoustic rating for this object.
It is provided according to the national building code. It indicates the sound transmission resistance of this object by an index ratio (instead of providing full sound absorbtion values).",P_SINGLEVALUE
c17a7600-d215-11e1-8000-00215ad4efdf,AcousticRating,IfcLabel,Pset_WallCommon,"Acoustic rating for this object.
It is provided according to the national building code. It indicates the sound transmission resistance of this object by an index ratio (instead of providing full sound absorbtion values).",P_SINGLEVALUE
4bade480-d1ec-11e1-8000-00215ad4efdf,AcquisitionDate,IfcDate,Pset_ManufacturerOccurrence,"The date that the manufactured item was purchased.",P_SINGLEVALUE
63bc3e80-d1c1-11e1-8000-00215ad4efdf,AcquisitionMethod,IfcLabel,Pset_AnnotationSurveyArea,"The means by which survey data was acquired.",P_ENUMERATEDVALUE
bf9dd060-46c4-4742-8099-a348641c3733,ACResistance,IfcElectricResistanceMeasure,Pset_CableSegmentTypeBusBarSegment,"The resistance under AC.",P_SINGLEVALUE
bf9dd060-46c4-4742-8099-a348641c3733,ACResistance,IfcElectricResistanceMeasure,Pset_CableSegmentTypeCableSegment,"The resistance under AC.",P_SINGLEVALUE
bf9dd060-46c4-4742-8099-a348641c3733,ACResistance,IfcElectricResistanceMeasure,Pset_CableSegmentTypeConductorSegment,"The resistance under AC.",P_SINGLEVALUE
bf9dd060-46c4-4742-8099-a348641c3733,ACResistance,IfcElectricResistanceMeasure,Pset_CableSegmentTypeCoreSegment,"The resistance under AC.",P_SINGLEVALUE
bf9dd060-46c4-4742-8099-a348641c3733,ACResistance,IfcElectricResistanceMeasure,Pset_CableCarrierSegmentTypeCatenaryWire,"The resistance under AC.",P_SINGLEVALUE
bf9dd060-46c4-4742-8099-a348641c3733,ACResistance,IfcElectricResistanceMeasure,Pset_CableSegmentTypeContactWire,"The resistance under AC.",P_SINGLEVALUE
bf9dd060-46c4-4742-8099-a348641c3733,ACResistance,IfcElectricResistanceMeasure,Pset_SectionInsulator,"The resistance under AC.",P_SINGLEVALUE
ea2682c0-fdad-4c42-aea0-1e1c35ee4a18,ActionBarMovementLength,IfcPositiveLengthMeasure,Pset_PointMachine,"The movement of the bar that pulls the point of a turnout.",P_SINGLEVALUE
47cb9380-d1e7-11e1-8000-00215ad4efdf,ActivationTemperature,IfcThermodynamicTemperatureMeasure,Pset_FireSuppressionTerminalTypeSprinkler,"The temperature at which the object is designed to activate.",P_SINGLEVALUE
31bdd300-d1e7-11e1-8000-00215ad4efdf,Activation,IfcLabel,Pset_FireSuppressionTerminalTypeSprinkler,"Identifies the predefined methods of sprinkler activation from which that required may be set.",P_ENUMERATEDVALUE
00d0a480-d1cd-11e1-8000-00215ad4efdf,ActualCompletion,IfcTimeSeries,Pset_ConstructionResource,"The actual completion percentage of the allocation.",P_REFERENCEVALUE
f9110000-d1cc-11e1-8000-00215ad4efdf,ActualCost,IfcTimeSeries,Pset_ConstructionResource,"The actual cost on behalf of the resource allocation.",P_REFERENCEVALUE
72701900-d1f4-11e1-8000-00215ad4efdf,ActualErectionDate,IfcDateTime,Pset_PrecastConcreteElementFabrication,"Date erected.",P_SINGLEVALUE
6dab6500-d1f4-11e1-8000-00215ad4efdf,ActualProductionDate,IfcDateTime,Pset_PrecastConcreteElementFabrication,"Production date (stripped from form).",P_SINGLEVALUE
f1515b80-d1cc-11e1-8000-00215ad4efdf,ActualWork,IfcTimeSeries,Pset_ConstructionResource,"The actual work on behalf of the resource allocation.",P_REFERENCEVALUE
bc93d300-d1d1-11e1-8000-00215ad4efdf,ActuationType,IfcLabel,Pset_DamperTypeFireDamper,"Enumeration that identifies the different types of dampers.",P_ENUMERATEDVALUE
ed740800-d1d1-11e1-8000-00215ad4efdf,ActuationType,IfcLabel,Pset_DamperTypeFireSmokeDamper,"Enumeration that identifies the different types of dampers.",P_ENUMERATEDVALUE
58ffaa80-d1bd-11e1-8000-00215ad4efdf,ActuatorInputPower,IfcPowerMeasure,Pset_ActuatorTypeElectricActuator,"Maximum input power requirement.",P_SINGLEVALUE
c250bdee-26a0-4d7e-aa05-00648837b594,AddedMassCoefficientMethod,IfcLabel,Pset_FenderDesignCriteria,"Method used to determine the Added Mass Coefficient used for design",P_ENUMERATEDVALUE
106608c5-3a03-450d-ba83-e763cd810b9c,AdditionalProcessing,IfcLabel,Pset_CargoCommon,"Any additional or special processing requirements on the associated cargo.",P_ENUMERATEDVALUE
35a02400-d1ec-11e1-8000-00215ad4efdf,Addressablility,IfcLabel,Pset_LightFixtureTypeSecurityLighting,"The type of addressability.",P_ENUMERATEDVALUE
c4686d00-d1fb-11e1-8000-00215ad4efdf,AdjustmentDesignation,IfcLabel,Pset_ProtectiveDeviceTrippingUnitCurrentAdjustment,"The desgnation on the device for the adjustment.",P_SINGLEVALUE
e9f57680-d1fb-11e1-8000-00215ad4efdf,AdjustmentDesignation,IfcLabel,Pset_ProtectiveDeviceTrippingUnitTimeAdjustment,"The desgnation on the device for the adjustment.",P_SINGLEVALUE
b87cab00-d1fb-11e1-8000-00215ad4efdf,AdjustmentRangeStepValue,IfcElectricCurrentMeasure,Pset_ProtectiveDeviceTrippingUnitCurrentAdjustment,"Step value of current adjustment for an AdjustmentValueType = RANGE. Note that this property should not have a value for an  AdjustmentValueType = LIST.",P_SINGLEVALUE
dfd37800-d1fb-11e1-8000-00215ad4efdf,AdjustmentRangeStepValue,IfcTimeMeasure,Pset_ProtectiveDeviceTrippingUnitTimeAdjustment,"Step value of time adjustment for an AdjustmentValueType = RANGE. Note that this property should not have a value for an  AdjustmentValueType = LIST.",P_SINGLEVALUE
b0bd0680-d1fb-11e1-8000-00215ad4efdf,AdjustmentRange,IfcElectricCurrentMeasure,Pset_ProtectiveDeviceTrippingUnitCurrentAdjustment,"Upper and lower current adjustment limits for an AdjustmentValueType = RANGE. Note that this property should not have a value for an  AdjustmentValueType = LIST.",P_BOUNDEDVALUE
d813d380-d1fb-11e1-8000-00215ad4efdf,AdjustmentRange,IfcTimeMeasure,Pset_ProtectiveDeviceTrippingUnitTimeAdjustment,"Upper and lower time adjustment limits for an AdjustmentValueType = RANGE. Note that this property should not have a value for an  AdjustmentValueType = LIST.",P_BOUNDEDVALUE
be728c00-d1fb-11e1-8000-00215ad4efdf,AdjustmentValues,IfcElectricCurrentMeasure,Pset_ProtectiveDeviceTrippingUnitCurrentAdjustment,"A list of current adjustment values that may be applied to a tripping unit for an AdjustmentValueType = LIST. A minimum of 1 and a maximum of 16 adjustment values may be specified. Note that this property should not have a value for an  AdjustmentValueType = RANGE.",P_LISTVALUE
e530c280-d1fb-11e1-8000-00215ad4efdf,AdjustmentValues,IfcTimeMeasure,Pset_ProtectiveDeviceTrippingUnitTimeAdjustment,"A list of time adjustment values that may be applied to a tripping unit for an AdjustmentValueType = LIST. A minimum of 1 and a maximum of 16 adjustment values may be specified. Note that this property should not have a value for an  AdjustmentValueType = RANGE.",P_LISTVALUE
a864cb80-d1fb-11e1-8000-00215ad4efdf,AdjustmentValueType,IfcLabel,Pset_ProtectiveDeviceTrippingUnitCurrentAdjustment,"The type of adjustment value that is applied through the property set. This determines the properties that should be asserted (see below).",P_ENUMERATEDVALUE
cfbb9880-d1fb-11e1-8000-00215ad4efdf,AdjustmentValueType,IfcLabel,Pset_ProtectiveDeviceTrippingUnitTimeAdjustment,"The type of adjustment value that is applied through the property set. This determines the properties that should be asserted (see below).",P_ENUMERATEDVALUE
f7573480-d1ec-11e1-8000-00215ad4efdf,AdmixturesDescription,IfcText,Pset_MaterialConcrete,"Description of the admixtures added to the concrete mix.",P_SINGLEVALUE
2c1cb900-d1f8-11e1-8000-00215ad4efdf,AgreementType,IfcLabel,Pset_PropertyAgreement,"Identifies the predefined types of property agreement from which the type required may be set.",P_ENUMERATEDVALUE
a5bea200-d20c-11e1-8000-00215ad4efdf,AirConditioningCentral,IfcBoolean,Pset_SpaceThermalRequirements,"Indication whether the space  requires a central air conditioning provided (TRUE) or not (FALSE).
It should only be given, if the property ""AirConditioning"" is set to TRUE.",P_SINGLEVALUE
9fc8c100-d20c-11e1-8000-00215ad4efdf,AirConditioning,IfcBoolean,Pset_SpaceThermalRequirements,"Indication whether this space requires air conditioning provided (TRUE) or not (FALSE).",P_SINGLEVALUE
ddebc380-d1bf-11e1-8000-00215ad4efdf,AirDiffusionPerformanceIndex,IfcReal,Pset_AirTerminalTypeCommon,"The Air Diffusion Performance Index (ADPI) is used for cooling mode conditions. If several measurements of air velocity and air temperature are made throughout the occupied zone of a space, the ADPI is the percentage of locations where measurements were taken that meet the specifications for effective draft temperature and air velocity.",P_SINGLEVALUE
0bf6f500-d20c-11e1-8000-00215ad4efdf,AirExchangeRate,IfcTimeSeries,Pset_SpaceThermalLoadPHistory,"Loads from the air exchange rate.",P_REFERENCEVALUE
a4d94080-d20b-11e1-8000-00215ad4efdf,AirExchangeRate,IfcPowerMeasure,Pset_SpaceThermalLoad,"Loads from the air exchange rate.",P_BOUNDEDVALUE
7c7f2100-d1ce-11e1-8000-00215ad4efdf,AirFlowConfiguration,IfcLabel,Pset_CooledBeamTypeActive,"Air flow configuration type of cooled beam.",P_ENUMERATEDVALUE
68cbbe80-d1be-11e1-8000-00215ad4efdf,AirflowCurve,IfcTimeSeries,Pset_AirTerminalBoxPHistory,"Air flowrate versus damper position relationship;airflow = f ( valve position).",P_REFERENCEVALUE
fb2f8a80-d1dd-11e1-8000-00215ad4efdf,AirFlowLeakage,IfcTimeSeries,Pset_DuctFittingPHistory,"Volumetric leakage flow rate.",P_REFERENCEVALUE
8acd3d00-d1ce-11e1-8000-00215ad4efdf,AirflowRateRange,IfcVolumetricFlowRateMeasure,Pset_CooledBeamTypeActive,"Possible range of airflow that can be delivered.",P_BOUNDEDVALUE
8c8f0480-d1be-11e1-8000-00215ad4efdf,AirflowRateRange,IfcVolumetricFlowRateMeasure,Pset_AirTerminalBoxTypeCommon,"Range of airflow that can be delivered.",P_BOUNDEDVALUE
b4d03080-d1c9-11e1-8000-00215ad4efdf,AirflowRateRange,IfcVolumetricFlowRateMeasure,Pset_CoilTypeCommon,"Possible range of airflow that can be delivered.  For cases where there is no airflow across the coil (e.g. electric coil in a floor slab), then the value is zero.",P_BOUNDEDVALUE
b72d8d00-d1bf-11e1-8000-00215ad4efdf,AirFlowrateRange,IfcVolumetricFlowRateMeasure,Pset_AirTerminalTypeCommon,"Air flowrate range within which the air terminal is designed to operate.",P_BOUNDEDVALUE
fe774600-d1de-11e1-8000-00215ad4efdf,AirFlowrateRange,IfcVolumetricFlowRateMeasure,Pset_DuctSilencerTypeCommon,"Possible range of airflow that can be delivered.",P_BOUNDEDVALUE
505ca380-d1c0-11e1-8000-00215ad4efdf,AirFlowrateVersusFlowControlElement,IfcVolumetricFlowRateMeasure,Pset_AirTerminalTypeCommon,"Air flowrate versus flow control element position at nominal pressure drop.",P_TABLEVALUE
2b1b6580-d1bf-11e1-8000-00215ad4efdf,AirFlowRate,IfcTimeSeries,Pset_AirTerminalPHistory,"Volumetric flow rate.",P_REFERENCEVALUE
6c674180-d1ce-11e1-8000-00215ad4efdf,AirFlowRate,IfcTimeSeries,Pset_CooledBeamPHistoryActive,"Air flow rate.",P_REFERENCEVALUE
89dd48d1-b318-4f25-99c1-2f06ce904666,AirFlowRate,IfcVolumetricFlowRateMeasure,Pset_AirTerminalOccurrence,"The actual airflow rate as designed.",P_SINGLEVALUE
c36e1600-d1d0-11e1-8000-00215ad4efdf,AirFlowRate,IfcTimeSeries,Pset_DamperPHistory,"Air flow rate.",P_REFERENCEVALUE
ca038a00-d1de-11e1-8000-00215ad4efdf,AirFlowRate,IfcTimeSeries,Pset_DuctSilencerPHistory,"Volumetric air flow rate.",P_REFERENCEVALUE
0ecaf900-d1be-11e1-8000-00215ad4efdf,AirflowSensible,IfcVolumetricFlowRateMeasure,Pset_AirSideSystemInformation,"The air flowrate required to satisfy the sensible peak loads.",P_SINGLEVALUE
00311180-d1bf-11e1-8000-00215ad4efdf,AirflowType,PEnum_AirTerminalAirflowType,Pset_AirTerminalOccurrence,"Enumeration defining the functional type of air flow through the terminal.",P_ENUMERATEDVALUE
adce1000-d213-11e1-8000-00215ad4efdf,AirHandlerConstruction,IfcLabel,Pset_UnitaryEquipmentTypeAirHandler,"Enumeration defining how the air handler might be fabricated.",P_ENUMERATEDVALUE
baeaff00-d213-11e1-8000-00215ad4efdf,AirHandlerFanCoilArrangement,IfcLabel,Pset_UnitaryEquipmentTypeAirHandler,"Enumeration defining the arrangement of the supply air fan and the cooling coil.",P_ENUMERATEDVALUE
4731fd80-d1e5-11e1-8000-00215ad4efdf,AirParticleFilterType,IfcLabel,Pset_FilterTypeAirParticleFilter,"A panel dry type extended surface filter is a dry-type air filter with random fiber mats or blankets in the forms of pockets, V-shaped or radial pleats, and include the following:

CoarseFilter: Filter with a efficiency lower than 30% for atmosphere dust-spot.
CoarseMetalScreen: Filter made of metal screen.
CoarseCellFoams: Filter made of cell foams.
CoarseSpunGlass: Filter made of spun glass.
MediumFilter: Filter with an efficiency between 30-98% for atmosphere dust-spot.
MediumElectretFilter: Filter with fine electret synthetic fibers.
MediumNaturalFiberFilter: Filter with natural fibers.
HEPAFilter: High efficiency particulate air filter.
ULPAFilter: Ultra low penetration air filter.
MembraneFilters: Filter made of membrane for certain pore diameters in flat sheet and pleated form.
A renewable media with a moving curtain viscous filter are random-fiber media coated with viscous substance in roll form or curtain where fresh media is fed across the face of the filter and the dirty media is rewound onto a roll at the bottom or to into a reservoir:
RollForm: Viscous filter used in roll form.
AdhesiveReservoir: Viscous filter used in moving curtain form.
A renewable moving curtain dry media filter is a random-fiber dry media of relatively high porosity used in moving-curtain(roll) filters.
An electrical filter uses electrostatic precipitation to remove and collect particulate contaminants.",P_ENUMERATEDVALUE
72f5b900-d1ce-11e1-8000-00215ad4efdf,AirPressureDropCurves,IfcTimeSeries,Pset_CooledBeamPHistoryActive,"Air pressure drop as function of air flow rate.",P_REFERENCEVALUE
86018c80-d1c0-11e1-8000-00215ad4efdf,AirPressureDropCurves,IfcTimeSeries,Pset_AirToAirHeatRecoveryPHistory,"Air pressure drop as function of air flow rate.",P_REFERENCEVALUE
11dbde80-d1ea-11e1-8000-00215ad4efdf,AirPressureDropCurve,IfcVolumetricFlowRateMeasure,Pset_HumidifierTypeCommon,"Air pressure drop versus air-flow rate.",P_TABLEVALUE
87838280-d1c9-11e1-8000-00215ad4efdf,AirPressureDropCurve,IfcTimeSeries,Pset_CoilPHistory,"Air pressure drop curve, pressure drop – flow rate curve, AirPressureDrop = f (AirflowRate).",P_REFERENCEVALUE
b1956e80-d1e2-11e1-8000-00215ad4efdf,AirPressureDropCurve,IfcVolumetricFlowRateMeasure,Pset_EvaporativeCoolerTypeCommon,"Air pressure drop as function of air flow rate.",P_TABLEVALUE
ce2fa780-d1de-11e1-8000-00215ad4efdf,AirPressureDropCurve,IfcTimeSeries,Pset_DuctSilencerPHistory,"Air pressure drop as a function of air flow rate.",P_REFERENCEVALUE
99135d00-d1be-11e1-8000-00215ad4efdf,AirPressureRange,IfcPressureMeasure,Pset_AirTerminalBoxTypeCommon,"Allowable air static pressure range at the entrance of the air terminal box.",P_BOUNDEDVALUE
8bcf9000-d209-11e1-8000-00215ad4efdf,AirPressurization,IfcBoolean,Pset_SpaceFireSafetyRequirements,"Indication whether the space is required to have pressurized air (TRUE) or not (FALSE).",P_SINGLEVALUE
b9b4d480-d209-11e1-8000-00215ad4efdf,AirResistanceCurve,IfcTimeSeries,Pset_SpaceHeaterPHistory,"Air resistance curve (w/ fan only); Pressure = f ( flow rate).",P_REFERENCEVALUE
f3f88480-d1bd-11e1-8000-00215ad4efdf,AirSideSystemDistributionType,IfcLabel,Pset_AirSideSystemInformation,"This enumeration defines the basic types of air side systems (e.g., SingleDuct, DualDuct, Multizone, etc.).",P_ENUMERATEDVALUE
d62b1f80-d1bd-11e1-8000-00215ad4efdf,AirSideSystemType,IfcLabel,Pset_AirSideSystemInformation,"This enumeration specifies the basic types of possible air side systems (e.g., Constant Volume, Variable Volume, etc.).",P_ENUMERATEDVALUE
95499b0c-fb18-404c-9116-9a076f88cd6f,AirVolume,IfcVolumeMeasure,Pset_SolidStratumComposition,"Relative volume of air stratum constituents.",P_SINGLEVALUE
2cb05200-d1ee-11e1-8000-00215ad4efdf,AlkalinityConcentration,IfcIonConcentrationMeasure,Pset_MaterialWater,"Maximum alkalinity concentration (maximum sum of concentrations of each of the negative ions substances measured as CaCO3).",P_SINGLEVALUE
e1e323fa-d0da-4dfc-b760-0db37ef41d3a,AllowableHullPressure,IfcPressureMeasure,Pset_MarineVehicleDesignCriteria,"Allowable contact pressure between fender and hull",P_SINGLEVALUE
e9df8180-d1cf-11e1-8000-00215ad4efdf,AmbientDesignDryBulbTemperature,IfcThermodynamicTemperatureMeasure,Pset_CoolingTowerTypeCommon,"Ambient design dry bulb temperature used for selecting the cooling tower.",P_SINGLEVALUE
ef3ccc00-d1cf-11e1-8000-00215ad4efdf,AmbientDesignWetBulbTemperature,IfcThermodynamicTemperatureMeasure,Pset_CoolingTowerTypeCommon,"Ambient design wet bulb temperature used for selecting the cooling tower.",P_SINGLEVALUE
d7f6e200-d1c1-11e1-8000-00215ad4efdf,AmplifierType,IfcLabel,Pset_AudioVisualApplianceTypeAmplifier,"Indicates the type of amplifier.",P_ENUMERATEDVALUE
9e8ff2bb-eb97-4869-8416-012305ffe8e9,AnchorageType,IfcLabel,Pset_MooringDeviceCommon,"Mooring device anchorage type",P_ENUMERATEDVALUE
ca0c8580-d1f0-11e1-8000-00215ad4efdf,AnchorBoltDiameter,IfcPositiveLengthMeasure,Pset_MechanicalFastenerAnchorBolt,"The nominal diameter of the anchor bolt bar(s).",P_SINGLEVALUE
c37e0e00-d1f0-11e1-8000-00215ad4efdf,AnchorBoltLength,IfcPositiveLengthMeasure,Pset_MechanicalFastenerAnchorBolt,"The length of the anchor bolt.",P_SINGLEVALUE
d8f33800-d1f0-11e1-8000-00215ad4efdf,AnchorBoltProtrusionLength,IfcPositiveLengthMeasure,Pset_MechanicalFastenerAnchorBolt,"The length of the protruding part of the anchor bolt.",P_SINGLEVALUE
d1cc2a00-d1f0-11e1-8000-00215ad4efdf,AnchorBoltThreadLength,IfcPositiveLengthMeasure,Pset_MechanicalFastenerAnchorBolt,"The length of the threaded part of the anchor bolt.",P_SINGLEVALUE
4ef99e00-d1f5-11e1-8000-00215ad4efdf,AngleBetweenComponentAxes,IfcPlaneAngleMeasure,Pset_PrecastSlab,"The angle between the axes of each pair of components.",P_SINGLEVALUE
4a34ea00-d1f5-11e1-8000-00215ad4efdf,AngleToFirstAxis,IfcPlaneAngleMeasure,Pset_PrecastSlab,"The angle of rotation of the axis of the first component relative to the ‘West’ edge of the slab.",P_SINGLEVALUE
4d9aa667-6cf0-4333-8951-433c562725ce,AnnualRange,IfcPositiveLengthMeasure,Pset_WaterStratumCommon,"Indicative (95%-100%) annual range in levels.",P_SINGLEVALUE
e4b9fe75-54b5-4dc2-bd29-d45de360b498,AnnualTrend,IfcLengthMeasure,Pset_WaterStratumCommon,"Indicative (95%-100%) annual rise in level.",P_SINGLEVALUE
f7374706-f55c-4de4-8d36-f8aaf991f481,AntennaGain,IfcRatioMeasure,Pset_CommunicationsApplianceTypeAntenna,"Indicates the antenna gain, which is a ratio of the power transmitted by an antenna in a specific direction compared to an isotropic antenna.",P_SINGLEVALUE
99f36675-d14b-4391-9826-a691c1363d8a,AntennaType,IfcLabel,Pset_MobileTeleCommunicationsApplianceTypeRemoteRadioUnit,"Indicates the type of antenna integrated in the device.",P_SINGLEVALUE
c19847e3-56b3-457e-822e-a228cdd489a8,AntennaType,IfcLabel,Pset_CommunicationsApplianceTypeAntenna,"Indicates the type of antenna.",P_ENUMERATEDVALUE
af897460-248b-4276-85e2-8b50acfc7106,ApparentPower,IfcTimeSeries,Pset_DistributionPortPHistoryCable,"Apparent power.",P_REFERENCEVALUE
54071f00-d1ee-11e1-8000-00215ad4efdf,AppearanceGrade,IfcLabel,Pset_MaterialWood,"Grade with respect to visual quality.",P_SINGLEVALUE
